id,full_name,short_name,division_id,district,state
238,TARAPUR JN.,TRP,15,ANAND,GUJARAT
239,TEJGADH,TJH,15,CHHOTAUDEPUR,GUJARAT
240,YAWARPURA,YVP,15,ANAND,GUJARAT
241,ALINDRA ROAD,AIR,15,VADODARA,GUJARAT
242,AMALPUR,AMLP,15,VADODARA,GUJARAT
243,ANKLAV,ALV,15,ANAND,GUJARAT
244,BACHAR,BCHR,15,VADODARA,GUJARAT
245,BARIPUR MANDALA,BRPM,15,VADODARA,GUJARAT
246,BAYAD,BAYD,15,AHMADABAD,GUJARAT
247,BHANER MINAWADA ROAD,BMVR,15,KHEDA,GUJARAT
248,BHARTHALI,BRTL,15,VADODARA,GUJARAT
249,BHATIEL,BHAL,15,ANAND,GUJARAT
250,BHETASI,BETI,15,ANAND,GUJARAT
251,BHILAPUR,BILP,15,VADODARA,GUJARAT
252,BORSAD,BO,15,ANAND,GUJARAT
253,CHANDOD,CDD,15,VADODARA,GUJARAT
254,DAVOL,DOW,15,ANAND,GUJARAT
255,DHANSURA,DNUA,15,ARVALLI,GUJARAT
256,JOJWA,JJW,15,VADODARA,GUJARAT
257,KALITALAWADI,KLWD,15,ANAND,GUJARAT
258,KAPADVANJ,KVNJ,15,KHEDA,GUJARAT
259,KASHIPURA,KSUA,15,ANAND,GUJARAT
260,KATHLAL,KTAL,15,KHEDA,GUJARAT
261,KELANPUR,KEP,15,VADODARA,GUJARAT
262,KUDSAD,KDSD,15,SURAT,GUJARAT
